Scenario,Beta,Peak daily cases,Peak date,Final cumulative cases
Fitted beta,0.3288396443607881,4141.213134539307,2020-02-09,68332.4558088136
10% lower beta,0.2959556799247093,3570.9954570018945,2020-02-11,68001.18093961045
20% lower beta,0.2630717154886305,3014.0900001851896,2020-02-15,67421.06375763487
30% lower beta,0.23018775105255165,2459.8373616861218,2020-02-19,66369.14373183809
